delannoy,3.36,3.35,0.00,99%,1320
filegen,1.62,0.78,0.05,51%,2452
mmul,1.99,1.97,0.00,99%,24532
nbody,2.55,2.55,0.00,99%,1772
qap,3.21,3.20,0.00,99%,1516
delannoy,3.36,3.35,0.00,99%,1280
filegen,1.70,0.78,0.06,49%,2544
mmul,1.98,1.97,0.00,99%,24560
nbody,2.57,2.56,0.00,99%,1948
qap,3.21,3.20,0.00,99%,1500
delannoy,3.40,3.39,0.00,99%,1404
filegen,1.65,0.82,0.06,53%,2504
mmul,1.98,1.97,0.00,99%,24648
nbody,2.56,2.55,0.00,99%,1868
qap,3.25,3.24,0.00,99%,1496
delannoy,3.36,3.35,0.00,99%,1432
filegen,1.62,0.77,0.07,51%,2572
mmul,1.98,1.97,0.00,99%,24524
nbody,2.55,2.54,0.00,99%,1844
qap,3.22,3.21,0.00,99%,1504
delannoy,3.36,3.35,0.00,99%,1352
filegen,1.62,0.78,0.05,51%,2496
mmul,1.98,1.96,0.00,99%,24612
nbody,2.55,2.55,0.00,99%,1872
qap,3.22,3.21,0.00,99%,1488
delannoy,3.36,3.35,0.00,99%,1360
filegen,1.61,0.77,0.06,52%,2452
mmul,1.99,1.97,0.00,99%,24604
nbody,2.55,2.55,0.00,99%,1896
qap,3.22,3.21,0.00,99%,1512
delannoy,3.36,3.35,0.00,99%,1364
filegen,1.60,0.77,0.07,52%,2512
mmul,1.99,1.97,0.00,99%,24644
nbody,2.55,2.54,0.00,99%,1920
qap,3.22,3.21,0.00,99%,1480
delannoy,3.36,3.35,0.00,99%,1280
filegen,1.60,0.78,0.05,52%,2460
mmul,1.98,1.97,0.00,99%,24592
nbody,2.56,2.54,0.00,99%,1888
qap,3.22,3.21,0.00,99%,1476
delannoy,3.35,3.34,0.00,99%,1392
filegen,1.62,0.79,0.05,51%,2496
mmul,1.98,1.97,0.00,99%,24616
nbody,2.55,2.55,0.00,99%,1812
qap,3.23,3.22,0.00,99%,1564
delannoy,3.36,3.34,0.00,99%,1316
filegen,1.61,0.75,0.08,52%,2576
mmul,1.99,1.97,0.00,99%,24596
nbody,2.56,2.55,0.00,99%,1876
qap,3.22,3.21,0.00,99%,1560
delannoy,3.37,3.35,0.00,99%,1356
filegen,1.60,0.76,0.07,52%,2452
mmul,2.15,2.14,0.00,99%,24600
nbody,2.56,2.54,0.00,99%,1880
qap,3.23,3.22,0.00,99%,1584
delannoy,3.36,3.35,0.00,99%,1356
filegen,1.63,0.77,0.06,51%,2548
mmul,1.99,1.97,0.00,99%,24540
nbody,2.55,2.55,0.00,99%,1900
qap,3.22,3.21,0.00,99%,1516
delannoy,3.36,3.34,0.00,99%,1368
filegen,1.60,0.77,0.07,52%,2424
mmul,1.99,1.97,0.00,99%,24612
nbody,2.56,2.55,0.00,99%,1932
qap,3.22,3.21,0.00,99%,1504
delannoy,3.36,3.35,0.00,99%,1436
filegen,1.60,0.77,0.06,52%,2572
mmul,1.99,1.97,0.00,99%,24540
nbody,2.55,2.54,0.00,99%,1932
qap,3.22,3.21,0.00,99%,1492
delannoy,3.36,3.34,0.00,99%,1372
filegen,1.63,0.81,0.06,53%,2536
mmul,1.99,1.97,0.00,99%,24536
nbody,2.56,2.55,0.00,99%,1772
qap,3.22,3.21,0.00,99%,1560
