benchmark,run,wall_s,user_s,sys_s,cpu_pct,max_rss_kb
delannoy,1,12.35,12.31,0.0,99.0,1356
delannoy,2,12.39,12.36,0.0,99.0,1432
delannoy,3,12.35,12.31,0.0,99.0,1316
delannoy,4,12.39,12.36,0.0,99.0,1364
delannoy,5,12.34,12.31,0.0,99.0,1316
delannoy,6,12.42,12.38,0.0,99.0,1404
delannoy,7,12.35,12.32,0.0,99.0,1432
delannoy,8,12.41,12.37,0.0,99.0,1388
delannoy,9,12.34,12.31,0.0,99.0,1372
delannoy,10,12.41,12.38,0.0,99.0,1372
delannoy_load,1,15.23,14.5,0.01,95.0,3176
delannoy_load,2,15.04,14.32,0.0,95.0,3196
delannoy_load,3,15.29,14.54,0.01,95.0,3180
delannoy_load,4,15.11,14.33,0.02,94.0,3176
delannoy_load,5,15.08,14.32,0.0,95.0,3220
delannoy_load,6,15.08,14.34,0.01,95.0,3140
delannoy_load,7,15.11,14.39,0.02,95.0,3248
delannoy_load,8,15.35,14.67,0.01,95.0,3220
delannoy_load,9,15.07,14.41,0.01,95.0,3196
delannoy_load,10,15.13,14.42,0.01,95.0,3132
delannoy_load,11,14.86,14.17,0.01,95.0,3100
delannoy_load,12,15.39,14.64,0.01,95.0,3148
delannoy_load,13,15.19,14.41,0.01,95.0,3180
delannoy_load,14,14.72,14.04,0.02,95.0,3212
delannoy_load,15,14.97,14.31,0.01,95.0,3224
delannoy_load,16,15.07,14.42,0.01,95.0,3132
delannoy_load,17,14.94,14.19,0.01,95.0,3232
delannoy_load,18,15.09,14.33,0.01,95.0,3256
delannoy_load,19,15.19,14.51,0.01,95.0,3188
delannoy_load,20,15.14,14.38,0.01,95.0,3188
delannoy_load,21,15.33,14.65,0.01,95.0,3168
delannoy_load,22,14.94,14.29,0.01,95.0,3188
delannoy_load,23,14.92,14.17,0.01,95.0,3256
delannoy_load,24,14.93,14.18,0.01,95.0,3216
delannoy_load,25,15.2,14.46,0.01,95.0,3228
delannoy_load,26,14.85,14.14,0.01,95.0,3224
delannoy_load,27,14.94,14.2,0.01,95.0,3228
delannoy_load,28,15.2,14.47,0.01,95.0,3236
delannoy_load,29,15.06,14.34,0.01,95.0,3124
delannoy_load,30,14.96,14.27,0.01,95.0,3204
filegen,1,2.31,0.77,0.05,35.0,2444
filegen,2,1.49,0.78,0.03,54.0,2456
filegen,3,2.11,0.77,0.04,38.0,2568
filegen,4,1.5,0.76,0.05,54.0,2528
filegen,5,1.44,0.78,0.03,56.0,2424
filegen,6,1.69,0.76,0.04,48.0,2460
filegen,7,1.49,0.76,0.05,54.0,2440
filegen,8,1.48,0.76,0.04,54.0,2440
filegen,9,1.43,0.77,0.04,57.0,2452
filegen,10,1.46,0.75,0.05,55.0,2492
filegen,11,1.51,0.75,0.05,53.0,2448
