benchmark,run,wall_s,user_s,sys_s,cpu_pct,max_rss_kb
filegen,1,2.2,0.76,0.05,37.0,2452
filegen,2,1.55,0.76,0.05,52.0,2572
filegen,3,1.55,0.77,0.05,53.0,2492
filegen,4,1.41,0.76,0.04,57.0,2420
filegen,5,1.47,0.77,0.04,55.0,2492
filegen,6,1.43,0.77,0.04,56.0,2448
filegen,7,1.43,0.76,0.04,56.0,2488
filegen,8,1.41,0.76,0.04,57.0,2440
filegen,9,1.42,0.76,0.04,56.0,2540
filegen,10,1.48,0.76,0.04,54.0,2496
filegen,11,1.44,0.76,0.04,56.0,2420
filegen,12,1.45,0.76,0.04,55.0,2420
filegen,13,1.44,0.77,0.04,56.0,2500
filegen,14,1.41,0.76,0.04,57.0,2500
filegen,15,1.44,0.76,0.05,56.0,2496
filegen,16,1.43,0.75,0.05,56.0,2456
filegen,17,1.43,0.76,0.05,56.0,2500
filegen,18,1.41,0.76,0.04,57.0,2440
filegen,19,1.41,0.77,0.04,57.0,2440
filegen,20,1.55,0.76,0.04,52.0,2500
filegen,21,1.76,0.77,0.04,46.0,2596
filegen,22,1.45,0.77,0.04,56.0,2492
filegen,23,1.42,0.77,0.04,57.0,2500
filegen,24,1.4,0.76,0.04,57.0,2540
filegen,25,1.43,0.77,0.04,57.0,2508
filegen,26,1.44,0.76,0.04,56.0,2488
filegen,27,1.45,0.76,0.04,56.0,2600
filegen,28,1.42,0.77,0.04,57.0,2448
filegen,29,1.42,0.75,0.05,57.0,2532
filegen,30,1.43,0.77,0.04,56.0,2484
filegen_load,1,8.18,10.61,0.83,139.0,3940
filegen_load,2,6.77,10.0,0.76,158.0,3920
filegen_load,3,5.61,0.8,0.22,18.0,3220
filegen_load,4,5.88,1.1,0.48,27.0,3244
filegen_load,5,6.91,0.81,0.31,16.0,3236
filegen_load,6,4.14,2.8,0.31,75.0,3780
filegen_load,7,4.93,0.86,0.24,22.0,3144
filegen_load,8,7.81,2.35,0.42,35.0,3564
filegen_load,9,6.09,0.8,0.31,18.0,3176
filegen_load,10,6.77,0.78,0.31,16.0,3156
filegen_load,11,10.37,0.91,0.32,11.0,3168
filegen_load,12,8.68,0.78,0.26,12.0,3088
filegen_load,13,9.24,9.73,0.66,112.0,4104
