benchmark,run,wall_s,user_s,sys_s,cpu_pct,max_rss_kb
delannoy,1,2.36,2.36,0.0,99.0,1384
delannoy,2,2.36,2.36,0.0,99.0,1384
delannoy,3,2.36,2.36,0.0,99.0,1448
delannoy,4,2.36,2.35,0.0,99.0,1384
delannoy,5,2.36,2.36,0.0,99.0,1384
delannoy,6,2.36,2.36,0.0,99.0,1384
delannoy,7,2.36,2.36,0.0,99.0,1384
delannoy,8,2.36,2.36,0.0,99.0,1384
delannoy,9,2.35,2.35,0.0,100.0,1384
delannoy,10,2.35,2.35,0.0,99.0,1364
delannoy_load,1,2.4,2.81,0.01,118.0,2740
delannoy_load,2,2.4,2.83,0.01,118.0,2676
delannoy_load,3,2.39,2.84,0.01,119.0,2736
delannoy_load,4,2.41,2.82,0.01,117.0,2740
delannoy_load,5,2.41,2.94,0.01,122.0,3008
delannoy_load,6,2.39,2.79,0.02,117.0,2740
delannoy_load,7,2.43,2.8,0.01,115.0,2724
delannoy_load,8,2.42,2.84,0.01,117.0,2740
delannoy_load,9,2.4,2.79,0.01,117.0,2736
delannoy_load,10,2.4,2.85,0.01,119.0,2744
delannoy_load,11,2.42,3.16,0.02,131.0,2984
delannoy_load,12,2.44,3.05,0.01,125.0,2980
delannoy_load,13,2.41,2.81,0.01,117.0,2748
delannoy_load,14,2.44,2.93,0.02,120.0,2920
delannoy_load,15,2.44,2.86,0.01,118.0,2740
delannoy_load,16,2.39,2.76,0.01,116.0,2788
delannoy_load,17,2.43,2.77,0.01,114.0,2740
delannoy_load,18,2.4,2.81,0.01,117.0,2740
delannoy_load,19,2.41,2.76,0.01,115.0,2740
delannoy_load,20,2.39,2.84,0.01,118.0,2620
delannoy_load,21,2.39,2.79,0.01,117.0,2740
delannoy_load,22,2.41,2.79,0.01,116.0,2788
delannoy_load,23,2.39,2.82,0.02,118.0,2748
delannoy_load,24,2.39,2.83,0.01,118.0,2724
delannoy_load,25,2.39,2.79,0.01,117.0,2764
delannoy_load,26,2.4,2.86,0.01,119.0,2740
delannoy_load,27,2.39,2.78,0.01,116.0,2660
delannoy_load,28,2.4,2.82,0.01,118.0,2744
delannoy_load,29,2.41,2.81,0.01,117.0,2748
delannoy_load,30,2.39,2.73,0.02,115.0,2764
filegen,1,0.43,0.32,0.02,79.0,2580
filegen,2,0.35,0.31,0.02,98.0,2640
filegen,3,0.35,0.32,0.02,98.0,2524
filegen,4,0.35,0.32,0.02,98.0,2640
filegen,5,0.35,0.32,0.02,98.0,2516
filegen,6,0.35,0.33,0.01,98.0,2472
filegen,7,0.34,0.31,0.02,99.0,2568
filegen,8,0.34,0.32,0.01,99.0,2524
filegen,9,0.34,0.32,0.01,99.0,2628
filegen,10,0.34,0.32,0.01,99.0,2692
filegen,11,0.35,0.32,0.02,98.0,2632
filegen,12,0.34,0.31,0.02,99.0,2700
filegen,13,0.34,0.32,0.02,99.0,2580
filegen,14,0.34,0.32,0.02,99.0,2640
filegen,15,0.34,0.33,0.01,99.0,2556
filegen,16,0.34,0.32,0.02,99.0,2636
